Region;2024;2023
Российская Федерация;381779;329159
Центральный федеральный округ;452 061;393 895
Белгородская область;341 506;302 311
Брянская область;331 864;297 743
Владимирская область;298 514;251 282
Воронежская область;403 634;347 491
Ивановская область;318 852;284 301
Калужская область;292 899;262 560
Костромская область;332 105;294 696
Курская область;331 070;286 182
Липецкая область;369 109;312 267
Московская область;513 055;443 537
Орловская область;310 220;273 475
Рязанская область;325 617;271 164
Смоленская область;304 033;268 792
Тамбовская область;305 033;263 058
Тверская область;350 629;292 263
Тульская область;360 193;294 998
Ярославская область;351 703;301 750
г.Москва;568 145;504 105
Северо-Западный федеральный округ;424 444;372 106
Республика Карелия;382 842;352 275
Республика Коми;334 006;287 859
Архангельская область;391 562;361 035
в том числе Ненецкий  авт.округ;331 361;306 397
Архангельская область без авт. Округа;394 223;363 414
Вологодская область;280 526;243 956
Калининградская область;334 640;274 739
Ленинградская область;409 624;363 709
Мурманская область;397 672;357 875
Новгородская область;328 365;286 702
Псковская область;346 894;297 168
г. Санкт-Петербург;516 951;451 843
Южный федеральный округ??;388 487;337 983
Республика Адыгея;432 328;331 206
Республика Калмыкия;271 329;225 137
Республика Крым;247 572;213 722
Краснодарский край;481 852;435 540
Астраханская область;263 384;233 136
Волгоградская область;291 325;251 681
Ростовская область;434 767;362 159
г.Севастополь;204 390;184 524
Северо -Кавказский федеральный округ;270 334;235 217
 Республика Дагестан;284 844;256 815
 Республика Ингушетия;114 276;92 894
Кабардино-Балкарская Республика;359 002;313 224
Карачаево-Черкесская Республика;142 822;113 337
Республика Северная Осетия Алания;285 674;246 045
Чеченская Республика;206 849;183 985
Ставропольский край;306 377;257 068
Приволжский федеральный округ;339 836;289 664
Республика Башкортостан;379 514;314 035
Республика  Марий Эл;243 027;200 575
Республика  Мордовия;285 714;241 199
Республика Татарстан;404 394;349 879
Удмуртская Республика;281 820;235 386
Чувашская  Республика;257 156;220 764
Пермский край;330 369;280 885
Кировская область;284 487;249 438
Нижегородская область;415 363;356 174
Оренбургская область;292 288;253 332
Пензенская область;293 381;252 997
Самарская область;377 157;315 966
Саратовская область;272 805;237 340
Ульяновская область;260 820;233 474
Уральский федеральный округ;368 518;311 108
Курганская область;255 811;218 389
Свердловская область;385 832;337 066
Тюменская область;392 773;343 338
в том числе:                                           Ханты-Мансийский авт. округ;363 911;319 586
Ямало-Ненецкий авт. округ;446 549;399 312
Тюменская область без авт. Округов;407 061;351 195
Челябинская область;343 867;262 784
Сибирский федеральный округ??;313 688;263 163
Республика Алтай;265 058;226 861
Республика Тыва;166 472;127 526
Республика Хакасия;288 678;244 314
Алтайский край;279 270;238 277
Красноярский край;319 829;275 048
Иркутская область;331 357;263 870
Кемеровская область - Кузбасс;276 174;233 241
Новосибирская область;384 554;321 502
Омская область;302 549;263 101
Томская область;318 435;257 944
Дальневосточный федеральный округ??;394 106;337 129
Республика Бурятия;322 779;276 981
Республика Саха (Якутия);402 005;353 877
Забайкальский край;277 659;247 102
Камчатский край;420 606;350 345
Приморский край;421 369;356 548
Хабаровский край;433 943;364 484
Амурская область;427 029;355 277
Магаданская область;434 120;364 221
Сахалинская область;506 711;451 865
Еврейская авт.область;312 332;258 313
Чукотский авт.округ;364 210;301 633
