Date;Non-mortgage;Personal
дек.23;752,679;125,015
янв.24;749,537;124,778
фев.24;752,893;124,864
мар.24;750,503;124,846
апр.24;757,498;125,337
май.24;759,631;125,333
июн.24;764,342;125,689
июл.24;767,372;126,021
авг.24;770,856;126,137
сен.24;775,964;126,743
окт.24;778,188;127,399
ноя.24;781,318;127,301
дек.24;786,104;127,323
янв.25;777,801;127,015
фев.25;778,938;126,785
мар.25;781,321;126,842
апр.25;785,486;127,141
май.25;787,421;127,341
июн.25;794,478;127,821
июл.25;794,832;128,159
авг.25;798,319;128,404
сен.25;804,999;128,933
