id;value;year
0;61,89;1980
1;85,71;2023
2;91,92;2021
3;98,76;2016
4;52,58;2009
5;89,89;2014
6;97,12;2021
7;86;2020
8;67,33;2015
9;97,32;2023
10;61,95;2009
11;95,48;2021
12;98,55;2022
13;96,72;2023
14;62,21;2021
15;87,17;2010
16;86,78;2017
17;97,52;2022
18;93,58;2022
19;95,15;2012
20;19,3;2023
21;98,86;2019
22;39,43;2022
23;56,27;2019
24;95,21;2021
25;80,72;2019
26;73,75;2023
27;98,34;1999
28;85,16;2023
29;57,16;2011
30;76,87;2017
31;100;2022
32;99,83;2020
33;89,84;2021
34;71,55;2013
35;75,98;2020
36;75,25;2007
37;97,12;2020
38;66,3;2021
39;89,92;2023
40;96,25;2021
41;99,44;2021
42;99,93;2021
43;71,5;2022
44;90,87;2021
45;95,69;2023
46;95,79;2023
47;99,69;2020
48;90,43;2023
49;75,48;2011
50;80,15;2017
51;99,56;2021
52;96,61;2018
53;52,72;2021
54;94,4;2023
55;99,1;2021
56;84,83;1971
57;58,41;1995
58;77;2020
59;97,7;2023
60;95,54;2021
61;99,92;2022
62;81,64;2017
63;89,44;2023
64;67,97;2013
65;23,2;1987
66;92,49;2011
67;33,96;1985
68;83,3;2023
69;98,35;2023
70;0;2013
71;100;2021
72;72,54;2023
73;99,07;2017
74;98,3;2016
75;67,45;1999
76;98,63;1994
77;99,63;2022
78;99,99;2022
79;79,07;2022
80;99,97;1998
81;96,41;2023
82;78,62;2004
83;86,77;2023
84;98,61;2022
85;80,31;2020
86;79,82;2019
87;94,99;2021
88;93,85;2022
89;79,7;2022
90;55,55;2016
91;87,27;1980
92;95,94;2020
93;96,07;2020
94;99,86;2023
95;29,92;2018
96;69,8;2018
97;88,74;2023
98;92,11;2023
99;73,47;2011
100;96,46;2021
101;82,14;2021
102;67,98;2016
103;93,68;2020
104;98,95;2022
105;90,11;2020
106;97,92;2018
107;99;2021
108;94,07;2023
109;56,87;2019
110;72,24;2009
111;89,6;2017
112;73,69;2016
113;92,77;1984
114;94,46;1989
115;47,94;2007
116;51,85;2023
117;70,22;2009
118;93,88;2022
119;100;2022
120;98,29;2016
121;61,29;2018
122;72,16;2022
123;66,22;1997
124;99,05;2023
125;94,56;2016
126;93,94;2023
127;99,68;2018
128;98,97;2020
129;81,46;2014
130;96,74;2021
131;96,16;2022
132;72,29;2023
133;92,3;2019
134;97,42;2023
135;88,42;2010
136;85,88;2018
137;75,1;2023
138;94,99;2023
139;48,44;2019
140;99,87;2022
141;98,89;2022
142;81,97;2018
143;96,38;2022
144;99,94;2021
145;97,28;2022
146;97,7;2014
147;72,63;2022
148;96,17;2017
149;76,2;2018
150;75,76;2020
151;99,56;2022
152;99,58;2021
153;90,01;2023
154;81,85;2019
155;97,6;2017
156;90,52;2018
157;72,92;2023
158;91,21;2019
159;97,66;2022
160;98,22;2020
161;0;2014
162;82,21;2021
163;60,08;2016
164;84,07;2018
165;100.0;2021
166;96,15;2019
167;92,64;2021
168;86,96;2019
169;86,65;2016
170;94,04;2014
171;77,49;2012
172;75,65;2012
173;90,84;2019
